target,text
0,@Nkluvr4eva My poor little dumpling  In Holmdel vids he was really trying...Hope he dont try to hard tonight xx
0,I'm off too bed. I gotta wake up hella early tomorrow morning. 
0,I havent been able to listen to it yet  My speakers are busted
0,now remembers why solving a relatively big equation with two unknowns is a total pain in the butt 
0,"Ate too much, feel sick "
0,Tried to purchase a parked domain through GoDaddy. $70 down the drain  kind of like gambling...
4,on lunch....dj should come eat with me 
0,Just got back from VA Tech Equine Medical Center...my poor Lilly has to be on stall rest for at least another month 
0,can't log in to my other twitter account. super bummed 
4,@TamaraSchilling Adventure - That's what we all need in our life. I am glad you had a great week. Thanks for yr response 
4,@PerezHilton Zach makes me pee sitting down! And I'm a grown gay man! 
4,to sum up my day in one word ......... kackered! 
4,@k9wkj Great minds think alike 
0,is very tired and doesn't want to clean anymore 
4,@LochNessCullen thanks for the follow!  how are you nessie? 
4,"@SallyGreene @andrewtc04 @Syondeli thanks guys, added a couple of love handle inches after tayyabs "
4,"i'm feeling quite sleepy today, wish i could stay in bed today...but OK! is my LAST YEAR, so let's go to school "
0,"so sad...   tough game, went into PK's, screw you."
0,@pedromelian I miss you  I wish it was the 18th already!
0,I'm leaving in a while... 
0,Oh  I've lost my ipod. What a dickhead I am.
4,Whaddup Whaddup Whaddup Whaddup Whaddup  I Got white girl swag from MY HEAD TO MY shOES Whaddup @yungla 
4,@tom_e_white http://my.safaribooksonline.com/9780596521974 -- congrats on getting out the Hadoop book (esp the ZooKeeper chapter  )
4,Working on photos from Hillsong's 1 year celebration!!! stay tuned   www.hillsong.co.za
0,@PrincessSuperC I heard that supernatural and click flash didn't make the cut on the final product.....why Ciara why? 
0,Willow seems almost better! Harper sounds worse  off to the Drs...
4,MY FAVORITE WORD IS NO! 
0,@ELEWW Dood - they've locked down your Vimeo WH video. 
0,is having information overload... getting dizzy  http://plurk.com/p/xugag
4,@schel You're absolutely right! 
4,"@ellieowen1 Honestly, it depends on the woman.. I love dresses that tend to dip low in the back "
0,I feel as though I'm letting down the feminist side by being so focused on ATP and not nearly as much on WTA. =/ Sorry. 
0,im trying to keep awake!!!!!!!!!!!!!!! its painful 
0,feeling ill ill ill.  goodnight.
0,@cabel the best part about that is when you do use an IE8 useragent it says to disable compatibility mode in the hints 
0,@EwitaK where is the love yall seeing movies without me 
0,@nidialmann @2_Centz wish i was there 
4,watching tv. &quot;2 fast 2 furious&quot; dang I remember when I loved this damn movie 
0,Doh! Planned to do some work in the cafe before a meeting. eduroam is not working. Spent the last ten minutes setting up roamnet. 
4,Hahaha blakk is reckkkin it. :p throwwwwwed. 
4,"Roaming the floor today  I will need some company on here, it's not busy!"
4,@SuzySpaatz ~ hi! sounds like you're feeling a bit better...that's great! you have a great day! 
4,Here  dude we got here n a table readyyy fo us 
4,@LittleFletcher Hi Carrie  How are you this morning? Xxx
4,"@StarJonesEsq On a good note, we DID meet at Marty Richards RED BALL a few years ago, you were so sweet to me I'll never forget it "
0,@OhSnapItsNicole why does it always rain when your not heree 
4,HAHAHAHAHAHHAHAHA. I dont think we need to jump anyone. She's hot  #hewouldbeluckytobebuttercupdsboyfriend
0,"@DracoRigel Good Morning to you. No sun here today I am afraid, its rainng  But got my coffee ;)"
4,"@spiv1 no prob, anytime you need some drinking support/encouragement, I&quot;m here  It's my specialty "
0,@crystalchappell ok I will go back to painting my house 
4,@BayAreaCheap there r a few of us local yocals around  happy to find u on twitter 2day
4,"just back from SuperCheap - a most successful trip. The bikes are tanked &amp; checked for the week, so all ready to start relaxing "
0,@mscrissy nope..I know 
4,@sephrenia1982 good work 
4,@madonnamike I thought you'd be pissed at me because you love CL. I totally respect her and that's why I made the reference 
0,OKLAHOMA!!! for a couple hours. i'm seriously missing civilization 
